FullCardNumber,Type,Year,First Visit,2019Attendee,Count2019_Pre-Reg,Day 1,Day 2,Day 3,No Show,attendance,count_2019
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
,,2019,No Show,,1,,,,1,No Show,1
